Date : 2023-01-27 09:24:55
Directory : /home/cjfritz/learning/50-projects-50-days
Total : 53 files,  2622 codes, 95 comments, 307 blanks, all 3024 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript React   |         28 |      1,768 |         21 |        167 |      1,956 |
| CSS                |         12 |        636 |          1 |        111 |        748 |
| TypeScript         |          9 |        130 |          0 |         17 |        147 |
| JSON               |          1 |         37 |          0 |          1 |         38 |
| JSON with Comments |          1 |         32 |         73 |          9 |        114 |
| HTML               |          1 |         17 |          0 |          1 |         18 |
| Markdown           |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         53 |      2,622 |         95 |        307 |      3,024 |
| . (Files)                                                                                                  |          4 |         73 |         73 |         11 |        157 |
| public                                                                                                     |          2 |         50 |          1 |          9 |         60 |
| src                                                                                                        |         47 |      2,499 |         21 |        287 |      2,807 |
| src (Files)                                                                                                |          1 |         14 |          0 |          3 |         17 |
| src/components                                                                                             |         39 |      2,389 |         21 |        267 |      2,677 |
| src/components (Files)                                                                                     |          3 |        177 |          0 |         17 |        194 |
| src/components/pages                                                                                       |         36 |      2,212 |         21 |        250 |      2,483 |
| src/components/pages/animated-form                                                                         |          2 |        156 |          0 |         24 |        180 |
| src/components/pages/animated-navigation                                                                   |          1 |        175 |          8 |          3 |        186 |
| src/components/pages/blurry-loading                                                                        |          3 |         75 |          0 |         12 |         87 |
| src/components/pages/dad-jokes-generator                                                                   |          2 |         94 |          0 |         12 |        106 |
| src/components/pages/expanding-cards                                                                       |          4 |        139 |          0 |         21 |        160 |
| src/components/pages/expanding-cards (Files)                                                               |          3 |        107 |          0 |         21 |        128 |
